"投開票所編號",設置地點,詳細地址,"所轄選舉人里鄰別","所轄原住民 選舉人里鄰別",電話號碼,備註
"251","蘭雅國中九年二班教室","三玉里忠誠路2段51號","三玉里15-21","三玉里全里","28329377轉500",
"252","士東國小一年三班教室","中山北路6段392號","蘭雅里1-5、7","28710064轉241",
"253","士東國小一年四班教室","中山北路6段392號","蘭雅里8-10、14-15","28710064轉241",
"254","士東國小一年五班教室","中山北路6段392號","蘭雅里16-19、25","28710064轉241",
"255","蘭雅國小健康中心","磺溪街57號","蘭雅里6、11-13、20","28366052轉208",
"256","蘭雅國小蘭心雅集","磺溪街57號","蘭雅里21-24","蘭雅里全里","28366052轉208",
"257","蘭雅國小一年一班教室","磺溪街57號","蘭興里1-5","28366052轉208",
"258","蘭雅國小一年三班教室","磺溪街57號","蘭興里6-10","28366052轉208",
"259","蘭雅國小二年一班教室","磺溪街57號","蘭興里11-14","28366052轉208",
"260","蘭雅國小二年三班教室","磺溪街57號","蘭興里15-19","蘭興里全里","28366052轉208",
"261","臺北市立大學天母校區體育館選手休息室（一）","忠誠路2段101號","天福里1-5","28718288",
"262","臺北市立大學天母校區體育館選手休息室（二）","忠誠路2段101號","天福里6-10","28718288",
"263","臺北市立大學天母校區體育館選手休息室（三）","忠誠路2段101號","天福里11-15","28718288",
"264","臺北市立大學天母校區體育館選手休息室（四）","忠誠路2段101號","天福里16-20","天福里全里","28718288",
"265","士東國小多功能教室1","中山北路6段392號","天祿里1-5","28710064轉241",
"266","士東國小一年一班教室","中山北路6段392號","天祿里6-11","天祿里全里","28710064轉241",
"267","士東國小一年二班教室","中山北路6段392號","天祿里12-16","28710064轉241",
"268","士東國小故事屋教室","中山北路6段392號","天壽里1-3、8、10","天壽里全里","28710064轉241",
"269","台北美國學校西校區","中山北路6段765號","天壽里4、6、9、11-12","28739900轉347",
"270","天母國小英語教室六","天玉街12號","天壽里5、7、13-16","28723336轉9503",
"271","天母國中八年一班教室","天母東路120號","天和里1-5","天和里全里","28754864轉275",
"272","天母國中八年二班教室","天母東路120號","天和里6-10","28754864轉275",
"273","天母國中八年三班教室","天母東路120號","天和里11-16","28754864轉275",
"274","天母國中八年四班教室","天母東路120號","天和里17-21","28754864轉275",
"275","天母國小一年三班教室","天玉街12號","天山里1-5","28723336轉9503",
"276","天母國小一年四班教室","天玉街12號","天山里6-10","天山里全里","28723336轉9503",
"277","天母國小一年五班教室","天玉街12號","天山里11-15","28723336轉9503",
"278","天母國小音樂教室(五)","天玉街12號","天山里16-20","28723336轉9503",
"279","天母國小廚房","天玉街12號","天玉里1-6","28723336轉9503",
"280","天母國小幼辦教室","天玉街12號","天玉里7-12","天玉里全里","28723336轉9503",
"281","天母國小活動教室","天玉街12號","天玉里13-18","28723336轉9503",
"282","天母國小幼一教室","天玉街12號","天玉里19-23","28723336轉9503",
"283","天母國小一年一班教室","天玉街12號","天玉里24-29","28723336轉9503",
"284","天母天主堂活動中心","士林中山北路7段171號","天母里2、7、9-11、17","28715168",
"285","基督教天母禮拜堂","中山北路7段216巷1號","天母里4、12-13、18","28711622",
"286","天母基督教會","天玉街63號","天母里6,8,15-16,19-20","28714834",
"287","道爾敦幼兒園","中山北路7段224巷3號","天母里1、3、5、14","天母里全里","28730225",
"288","永福區民活動中心","仰德大道2段146號","永福里全里","永福里全里","0972295842",
"289","公館里里民聚會所","永公路245巷19號旁","公館里全里","公館里全里","0972295843",
"290","陽明山國小一年忠班教室","仰德大道3段61號","新安里1-6","新安里全里","28616366",
"291","陽明山國小二年忠班教室","仰德大道3段61號","新安里7-10","28616366",
"292","臺北市立聯合醫院草山職能工作坊","建業路7號","陽明里1-6","28622470",
"293","陽明區民活動中心","菁山路34巷1號","陽明里7-15","28618717",
"294","基督教臺灣信義會陽明山錫安堂","陽明路1段34號","陽明里16-23","陽明里全里","28612140",
"295","原菁山區民活動中心(菁礐開漳聖王宮)","永公路520號","菁山里1-4","菁山里全里","28610678",
