編號,場所名稱,投(開)票所地址,所屬里別,所屬鄰別
0311,總榮里活動中心,麻豆區總榮里３鄰３２－１號,總榮里,全里
0312,龍泉里活動中心,麻豆區龍泉里２鄰溝子墘２０號,龍泉里,全里
0313,永淨寺1樓,麻豆區南勢里３鄰關帝廟２３－２號,南勢里,1-9
0314,保安宮(右室),麻豆區南勢里１３鄰南勢２６號,南勢里,10-27
0315,寮廍里活動中心,麻豆區寮廍里３鄰１５號,寮廍里,全里
0316,普天宮,麻豆區小埤里３鄰１－２號,小埤里,全里
0317,埤頭里活動中心,麻豆區埤頭里１２鄰１１０－１號,埤頭里,全里
0318,大山里活動中心,麻豆區大山里４鄰２１２號,大山里,全里
0319,海埔里活動中心,麻豆區海埔里３鄰４３號,海埔里,全里
0320,莊禮里活動中心,麻豆區莊禮里４鄰５４號,莊禮里,全里
0321,港尾里社區活動中心,麻豆區港尾里８鄰４８－２號,港尾里,全里
0322,麻口里社區活動中心,麻豆區麻口里７鄰５４－６號,麻口里,全里
0323,正安宮,麻豆區安東里４鄰安業２７７－４號,安東里,全里
0324,安業里活動中心,麻豆區安業里３鄰９９號之１,安業里,全里
0325,安西里活動中心,麻豆區安西里５鄰２２７－１０號,安西里,全里
0326,紀安國小活動中心,麻豆區謝安里９鄰２３１號,謝安里,全里
0327,紀安宮活動中心,麻豆區謝安里６鄰５３號,中民里,全里
0328,安正里活動中心,麻豆區安正里４－１號(永安宮後面),安正里,全里
0329,磚井里活動中心,麻豆區磚井里４鄰３１－１號,磚井里,全里
0330,官田社區活動中心,官田區官田里２１鄰官田３１５號,官田里,7-24
0331,官田區風雨球場,官田區官田里１鄰官田２０－３號,官田里,"1-6,25-30"
0332,二鎮社區活動中心,官田區二鎮里８鄰二鎮６８之１號,二鎮里,"3-8,17-25"
